customer_id,first_name,last_name,age,annual_income,credit_score,address,city,state,zip_code,property_type,property_value,loan_amount,down_payment,interest_rate,loan_term_years,origination_date,monthly_payment,current_balance,loan_status,days_delinquent
1001,Danielle,Garcia,49,120533,665,836 Hill Point,Piercestad,CO,51491,Single Family,140000,115000,25000,7.08,30,3/7/2022,771.29,108903.94,Current,0
1002,Angel,Jennings,43,95065,708,687 Teresa Row,South Rachel,MI,74000,Single Family,235000,147000,88000,6.57,30,9/10/2015,935.92,123078.47,Current,0
1003,Joshua,Stephens,51,61686,656,566 Kevin Ferry Suite 334,Luisstad,ID,95622,Townhouse,295000,229000,66000,6.91,30,5/2/2024,1509.73,225204.54,Current,0
1004,Jeffrey,Levine,60,43327,695,0866 Paul Glens,Lake Nicolemouth,AZ,43569,Single Family,930000,617000,313000,6.65,30,10/6/2018,3960.92,548644.4,Current,0
1005,Jill,Howard,42,84890,580,1751 Brett Lane,Perezfurt,IL,23731,Single Family,480000,384000,96000,8.28,30,10/15/2024,2892.97,380586.67,Current,0
1006,Erica,Sanders,42,72893,737,39837 Molly Isle,Shermanport,NV,71943,Single Family,185000,152000,33000,6.32,30,5/17/2021,942.82,141873.7,Current,0
1007,Patricia,Lopez,60,93676,720,33173 Randy Garden Suite 467,Mooreburgh,NH,86497,Single Family,460000,366000,94000,6.14,30,6/25/2021,2227.41,342277.78,Current,0
1008,Christopher,Martinez,52,82256,654,4587 Garcia Stravenue Suite 535,Robertsside,IN,26749,Single Family,165000,142000,23000,6.58,30,8/22/2015,905.02,118767.22,Current,0
1009,Robert,Charles,40,101192,772,0932 Jose Prairie Suite 423,Kathrynburgh,MA,02363,Single Family,620000,445000,175000,5.35,30,4/1/2023,2484.94,429445.6,Current,0
1010,Anthony,Gibson,50,45816,795,69378 Scott View Suite 772,South Bettychester,WA,90296,Single Family,285000,247000,38000,5.13,30,9/14/2020,1345.64,227743.15,Current,0
1011,Jeffery,Bates,40,115693,591,28728 Alexandria Villages Apt. 006,Jenkinstown,IA,56796,Condo,345000,259000,86000,7.81,30,7/4/2016,1866.26,220425.79,Current,0
1012,William,May,40,66092,658,312 Jeffery Motorway,East Chelsea,FL,10944,Single Family,705000,542000,163000,6.95,30,5/27/2018,3587.76,478641.2,Current,0
1013,Anthony,Harper,47,168996,658,99770 Amanda Loop Apt. 084,New Ashleychester,FL,43594,Single Family,190000,157000,33000,7.21,30,1/19/2023,1066.76,150988.94,Current,0
1014,James,Smith,25,42421,644,86211 John River Suite 546,West Chelseaburgh,MI,85284,Single Family,180000,109000,71000,7.43,30,11/18/2022,756.93,104513.84,Current,0
1015,Debra,Buchanan,27,142626,786,6793 Kevin Views,Cohenstad,PA,32691,Condo,270000,224000,46000,5.3,30,7/13/2023,1243.88,217238.52,Current,0
1016,Amy,Sanchez,39,66102,704,016 Bennett Mountains,Lake Carolynfurt,FL,63397,Single Family,610000,498000,112000,6.61,30,8/5/2018,3183.81,441398.61,Current,0
1017,Jeffrey,Martinez,34,43230,698,021 Bruce Rue,Port Robin,OH,03212,Single Family,170000,120000,50000,6.54,30,12/5/2018,761.64,107038.89,Current,0
1018,Bridget,Cunningham,48,47007,580,180 Jason Ways Suite 401,Woodbury,AZ,13537,Single Family,90000,57000,33000,8.01,30,1/21/2020,418.64,51930.69,Current,0
1019,Lisa,Jones,35,51013,770,902 Smith Fords Apt. 614,South Sharon,MD,17524,Single Family,290000,183000,107000,5.72,30,12/27/2022,1064.45,175798.61,Current,0
1020,Adam,Hubbard,30,74019,620,396 Reyes Streets,West David,PA,98727,Single Family,475000,438000,37000,7.5,30,1/5/2025,3062.56,435769.44,Current,0
1021,Linda,Clark,59,77763,724,185 Connor Fort,North Jamiemouth,IL,96316,Condo,660000,555000,105000,6.54,20,8/15/2023,4151.01,531142.71,Current,0
1022,Helen,Robinson,42,44943,742,9996 Johnson Groves,Sanchezmouth,NJ,34342,Single Family,285000,184000,101000,5.61,30,2/23/2023,1057.47,177253.33,Current,0
